pitcher,player,outs,bases,score,play,li,re,we,wpa,re24,halfinning,inning,gamenum,fgabnum,matchedabnum
Y Ventura,B Posey,1,___,Sep-00,Buster Posey grounded out to shortstop (Grounder).,0.01,0.23,0.999,0,-0.14,top,6,6,53,52
Y Ventura,P Sandoval,2,___,Sep-00,Pablo Sandoval walked.,0.01,0.09,0.998,0,0.12,top,6,6,54,53
Y Ventura,H Pence,2,1__,Sep-00,Hunter Pence grounded out to pitcher (Grounder).,0.01,0.21,0.999,-0.001,-0.21,top,6,6,55,54
H Strickland,B Butler,0,___,Sep-00,Billy Butler walked.,0.01,0.45,0.999,0,0.37,bottom,6,6,56,55
H Strickland,A Gordon,0,1__,Sep-00,Alex Gordon grounded into a double play to second (Grounder). Billy Butler out at second.,0.01,0.81,0.999,0,-0.72,bottom,6,6,57,56
H Strickland,S Perez,2,___,Sep-00,Salvador Perez grounded out to shortstop (Grounder).,0,0.09,0.999,0,-0.09,bottom,6,6,58,57
Y Ventura,B Belt,0,___,Sep-00,Brandon Belt flied out to right (Fliner (Fly)).,0.03,0.45,0.999,-0.001,-0.21,top,7,6,59,58
Y Ventura,M Morse,1,___,Sep-00,Michael Morse grounded out to shortstop (Grounder).,0.01,0.23,0.999,0,-0.14,top,7,6,60,59
Y Ventura,T Ishikawa,2,___,Sep-00,Travis Ishikawa walked.,0.01,0.09,0.999,0,0.12,top,7,6,61,60
Y Ventura,B Crawford,2,1__,Sep-00,Brandon Crawford singled to center (Liner). Travis Ishikawa advanced to 2B.,0.01,0.21,0.999,0,0.2,top,7,6,62,61
Y Ventura,G Blanco,2,12_,Sep-00,Gregor Blanco fouled out to third (Fly).,0.03,0.41,0.999,-0.001,-0.41,top,7,6,63,62
H Strickland,M Moustakas,0,___,Oct-00,Mike Moustakas homered (Fly).,0,0.45,1,0,1,bottom,7,6,64,63
H Strickland,O Infante,0,___,Oct-00,Omar Infante flied out to first (Fly).,0,0.44,1,0,-0.21,bottom,7,6,65,64
H Strickland,A Escobar,1,___,Oct-00,Alcides Escobar flied out to center (Fly).,0,0.23,1,0,-0.14,bottom,7,6,66,65
H Strickland,J Dyson,2,___,Oct-00,Jarrod Dyson grounded out to first (Grounder).,0,0.09,1,0,-0.09,bottom,7,6,67,66
J Frasor,J Panik,0,___,Oct-00,Joe Panik singled to center (Grounder).,0.01,0.45,0.999,0,0.37,top,8,6,68,67
J Frasor,A Susac,0,1__,Oct-00,Andrew Susac flied out to center (Fliner (Fly)).,0.01,0.81,1,0,-0.34,top,8,6,69,68
J Frasor,P Sandoval,1,1__,Oct-00,Pablo Sandoval singled to right (Liner). Joe Panik advanced to 2B.,0,0.48,0.999,0,0.37,top,8,6,70,69
J Frasor,H Pence,1,12_,Oct-00,Hunter Pence flied out to catcher (Fly).,0.01,0.85,1,0,-0.44,top,8,6,71,70
J Frasor,B Belt,2,12_,Oct-00,Brandon Belt struck out swinging.,0.01,0.41,1,0,-0.41,top,8,6,72,71
R Vogelsong,L Cain,0,___,Oct-00,Lorenzo Cain walked.,0,0.45,1,0,0.37,bottom,8,6,73,72
R Vogelsong,E Hosmer,0,1__,Oct-00,Eric Hosmer struck out looking.,0,0.81,1,0,-0.34,bottom,8,6,74,73
R Vogelsong,B Butler,1,1__,Oct-00,Billy Butler grounded into a double play to third (Grounder). Lorenzo Cain out at second.,0,0.48,1,0,-0.48,bottom,8,6,75,74
T Collins,M Morse,0,___,Oct-00,Michael Morse fouled out to first (Fly).,0,0.45,1,0,-0.21,top,9,6,76,75
T Collins,J Perez,1,___,Oct-00,Juan Perez singled to right (Grounder).,0,0.23,1,0,0.24,top,9,6,77,76
T Collins,M Duffy,1,1__,Oct-00,Matt Duffy struck out swinging.,0,0.48,1,0,-0.27,top,9,6,78,77
T Collins,G Blanco,2,1__,Oct-00,Gregor Blanco struck out swinging.,0,0.21,1,0,-0.21,top,9,6,79,78
J Guthrie,G Blanco,0,___,0-0,Gregor Blanco flied out to center (Fly).,0.87,0.45,0.521,-0.021,-0.21,top,1,7,1,1
J Guthrie,J Panik,1,___,0-0,Joe Panik grounded out to first (Grounder).,0.61,0.23,0.536,-0.015,-0.14,top,1,7,2,2
J Guthrie,B Posey,2,___,0-0,Buster Posey grounded out to third (Grounder).,0.39,0.09,0.546,-0.01,-0.09,top,1,7,3,3
T Hudson,A Escobar,0,___,0-0,Alcides Escobar flied out to left (Fliner (Liner)).,0.87,0.45,0.524,-0.021,-0.21,bottom,1,7,4,4
T Hudson,N Aoki,1,___,0-0,Nori Aoki walked.,0.61,0.23,0.549,0.024,0.24,bottom,1,7,5,5
T Hudson,L Cain,1,1__,0-0,Lorenzo Cain reached on fielder's choice to third (Grounder). Nori Aoki out at second.,1.17,0.48,0.522,-0.027,-0.27,bottom,1,7,6,6
T Hudson,E Hosmer,2,1__,0-0,Eric Hosmer struck out looking.,0.8,0.21,0.5,-0.022,-0.21,bottom,1,7,7,7
J Guthrie,P Sandoval,0,___,0-0,Pablo Sandoval was hit by a pitch.,0.93,0.45,0.461,0.039,0.37,top,2,7,8,8
J Guthrie,H Pence,0,1__,0-0,Hunter Pence singled to left (Grounder). Pablo Sandoval advanced to 2B.,1.59,0.81,0.402,0.06,0.6,top,2,7,9,9
J Guthrie,B Belt,0,12_,0-0,Brandon Belt singled to right (Liner). Pablo Sandoval advanced to 3B. Hunter Pence advanced to 2B.,2.1,1.41,0.321,0.081,0.85,top,2,7,10,10
J Guthrie,M Morse,0,123,0-1,Michael Morse hit a sacrifice fly to right (Fliner (Liner)). Pablo Sandoval scored. Hunter Pence advanced to 3B.,2.41,2.26,0.322,-0.001,-0.13,top,2,7,11,11
